n.gram,counts,word.index
a,282285,1
aa,79,2
aaa,31,3
aaaa,3,4
aaaaaaaahhhhhh,2,5
aaaaahhhh,3,6
aaaaand,2,7
aaaah,2,8
aaaahhhhh,2,9
aaaand,2,10
aaah,8,11
aaahh,4,12
aaahhhh,2,13
aaas,3,14
aaawww,2,15
aabid,2,16
aac,13,17
aace,2,18
aachen,3,19
aacr,2,20
aad,2,21
aadg,2,22
aah,17,23
aahaha,2,24
aahh,5,25
aahhhh,3,26
aahing,2,27
aai,4,28
aakash,6,29
aalborg,2,30
aaliyah,10,31
aam,8,32
aamer,3,33
aamir,2,34
aan,6,35
aand,2,36
aang,2,37
aap,2,38
aapl,9,39
aar,2,40
aardma,2,41
aardman,6,42
aardvark,4,43
aare,2,44
aargh,4,45
aarhus,4,46
aaro,9,47
aaron,196,48
aaronson,2,49
aarp,16,50
aas,3,51
aashika,2,52
aashima,3,53
aastra,2,54
aat,4,55
aati,3,56
aau,14,57
aaud,2,58
aavg,2,59
aaww,3,60
aawww,2,61
aay,2,62
ab,82,63
aba,15,64
ababa,2,65
abacha,2,66
aback,24,67
abacus,2,68
abaddon,2,69
abaire,2,70
abalone,2,71
abando,21,72
abandon,62,73
abandoned,244,74
abandoning,33,75
abandonment,28,76
abandons,3,77
abated,6,78
abatement,6,79
abatements,2,80
abating,4,81
abatis,2,82
abattoir,2,83
abaya,6,84
abayas,4,85
abazab,2,86
abba,32,87
abbas,10,88
abbasi,2,89
abbasiyah,2,90
abbaye,2,91
abbess,2,92
abbey,90,93
abbie,12,94
abbot,13,95
abbott,40,96
abbottabad,10,97
abbreviate,5,98
abbreviated,14,99
abbreviation,10,100
abbreviations,5,101
abby,98,102
abc,231,103
abce,2,104
abcnews,4,105
abcs,5,106
abd,2,107
abdc,28,108
abdel,3,109
abdelkader,4,110
abdenour,2,111
abdicate,2,112
abdicated,2,113
abdicating,2,114
abdication,5,115
abdomen,21,116
abdominal,19,117
abdominals,3,118
abdu,9,119
abduct,2,120
abducted,19,121
abductee,2,122
abduction,18,123
abductions,4,124
abdul,49,125
abdullah,18,126
abdulmutallab,3,127
abdur,4,128
abe,30,129
abecedarian,2,130
abed,7,131
abednego,2,132
abel,21,133
abelard,4,134
abelardo,3,135
abell,2,136
abella,4,137
abelle,2,138
